epoch,accuracy,loss,val_accuracy,val_loss
0,0.5268138647079468,0.7026438117027283,0.5063291192054749,0.6995581388473511
1,0.5299684405326843,0.6951658129692078,0.5063291192054749,0.6979251503944397
2,0.5457413196563721,0.6931105256080627,0.5063291192054749,0.6932989954948425
3,0.5804416537284851,0.6835660934448242,0.5189873576164246,0.6647499799728394
4,0.6372239589691162,0.6308830380439758,0.7088607549667358,0.5591304302215576
5,0.608832836151123,0.6297455430030823,0.6708860993385315,0.6017143130302429
6,0.6340693831443787,0.5915776491165161,0.6329113841056824,0.603804886341095
7,0.6214510798454285,0.5856003761291504,0.6582278609275818,0.5530614256858826
8,0.659305989742279,0.5278821587562561,0.7088607549667358,0.5417002439498901
9,0.7034700512886047,0.50043785572052,0.6835442781448364,0.5711706876754761
10,0.7476340532302856,0.46716612577438354,0.6835442781448364,0.6069656610488892
11,0.8044164180755615,0.4204196333885193,0.6582278609275818,0.6313754916191101
12,0.8201892971992493,0.371380090713501,0.6455696225166321,0.6587352752685547
13,0.8422712683677673,0.36019378900527954,0.6708860993385315,0.6871680617332458
14,0.8643532991409302,0.31584790349006653,0.6835442781448364,0.980156421661377
15,0.7760252356529236,0.41274288296699524,0.6708860993385315,0.729633629322052
16,0.7886435389518738,0.36943256855010986,0.6455696225166321,0.7450467944145203
17,0.8422712683677673,0.33459389209747314,0.6708860993385315,0.764070451259613
18,0.8548895716667175,0.2883918881416321,0.6708860993385315,0.9359854459762573
19,0.8643532991409302,0.25729548931121826,0.7088607549667358,0.8813725709915161
