epoch,accuracy,loss,val_accuracy,val_loss
0,0.5236592888832092,0.6901915073394775,0.5063291192054749,0.6944770216941833
1,0.539432168006897,0.6912962198257446,0.5063291192054749,0.6887532472610474
2,0.5646687746047974,0.6800131797790527,0.6329113841056824,0.6494640707969666
3,0.6277602314949036,0.6317000389099121,0.6329113841056824,0.5952266454696655
4,0.6435331106185913,0.5843407511711121,0.6708860993385315,0.5484592914581299
5,0.6466876864433289,0.5507004261016846,0.6708860993385315,0.5743399262428284
6,0.6940063238143921,0.5335065722465515,0.6708860993385315,0.560190737247467
7,0.7602523565292358,0.48213228583335876,0.6329113841056824,0.7032220363616943
8,0.7665615081787109,0.500909149646759,0.7215189933776855,0.5373737215995789
9,0.7507886290550232,0.4729279577732086,0.7088607549667358,0.6107963919639587
10,0.85173499584198,0.36919131875038147,0.7088607549667358,0.5506796836853027
11,0.8580441474914551,0.33997440338134766,0.7848101258277893,0.5294389128684998
12,0.9053627848625183,0.2682589888572693,0.7848101258277893,0.5715516209602356
13,0.8927444815635681,0.2684974670410156,0.7215189933776855,0.7350190281867981
14,0.8706624507904053,0.27541017532348633,0.7848101258277893,0.577175498008728
15,0.9179810881614685,0.1925441324710846,0.8227847814559937,0.5987774729728699
16,0.9053627848625183,0.1625872403383255,0.8227847814559937,0.699641764163971
17,0.9716088175773621,0.10604509711265564,0.797468364238739,0.7683154940605164
18,0.9400631189346313,0.1553511917591095,0.7215189933776855,1.0551780462265015
19,0.9085173606872559,0.20776472985744476,0.746835470199585,0.9684579372406006
20,0.9526813626289368,0.11698315292596817,0.797468364238739,0.8324350118637085
