epoch,accuracy,loss,val_accuracy,val_loss
0,0.5078864097595215,4.239861488342285,0.5063291192054749,2.1916046142578125
1,0.511040985584259,1.7981884479522705,0.4810126721858978,0.7117159962654114
2,0.5205047130584717,1.0819615125656128,0.49367088079452515,0.9172995686531067
3,0.511040985584259,0.8163850903511047,0.5063291192054749,0.7309501767158508
4,0.4984227120876312,0.7936854958534241,0.5063291192054749,0.7665514349937439
5,0.5015772581100464,0.7682141661643982,0.4303797483444214,0.7092499732971191
6,0.47318610548973083,0.7397440671920776,0.5063291192054749,0.7203075289726257
7,0.4511041045188904,0.7650531530380249,0.5063291192054749,0.770963728427887
8,0.4826498329639435,0.7726937532424927,0.5063291192054749,0.8040968775749207
9,0.4826498329639435,0.7723690867424011,0.5063291192054749,0.8034247159957886
10,0.4826498329639435,0.8066449165344238,0.5063291192054749,0.8412036299705505
11,0.4763406813144684,0.8233471512794495,0.5063291192054749,0.9100436568260193
12,0.47949525713920593,0.8660805821418762,0.5063291192054749,0.9263800978660583
